cod_concesion,COD_CONTADOR_ACT,CALIBRE
VR,Q18EA019889G,13.0
VR,J14LA719590L,13.0
VR,991150195,13.0
VR,,
VR,1107103,13.0
VR,D12TA089625E,13.0
VR,J14LA719596R,13.0
VR,J14LA71959S,13.0
VR,J14LA719760L,13.0
VR,J17LA638687U,13.0
VR,Q19GA005127L,13.0
VR,Q19GA005221I,13.0
VR,Q21GA046072B,13.0
VR,Q21GA031124X,13.0
VR,Q18GA043103G,13.0
VR,Q18EA019455V,13.0
VR,Q18GA043162R,13.0
VR,Q18GA043384D,13.0
VR,D12TA089669Q,13.0
VR,Q18EA019840Z,13.0
VR,Q18GA043261T,13.0
VR,Q18EA019577D,13.0
VR,Q18EA019578F,13.0
VR,Q18GA043079X,13.0
VR,J17LA638961T,13.0
VR,Q21GA046094H,13.0
VR,Q18GA043699T,13.0
VR,Q21GA045740Q,13.0
VR,EZ023197B,13.0
VR,Q19GA004965L,13.0
VR,Q18GA042998X,13.0
VR,Q19GA023975T,13.0
VR,Q18GA037843U,13.0
VR,D12TA089854P,13.0
VR,Q18GA043542Z,13.0
VR,Q19GA005049O,13.0
VR,J14LA719712D,13.0
VR,J15LA851458L,13.0
VR,Q18GA043387G,13.0
VR,54377656,13.0
VR,,
VR,,
VR,Q21GA045901J,13.0
VR,J15LA851207U,13.0
VR,D12LA037650M,13.0
VR,J14LA719714F,13.0
VR,Q18GA043195A,13.0
VR,Q21EA037227L,13.0
VR,C18LA220039V,13.0
VR,Q21GA046028X,13.0
VR,Q21EA037169S,13.0
VR,J15LA851159D,13.0
VR,J17LA638953T,13.0
VR,,
VR,Q18GA037837W,13.0
VR,Q21GA046183H,13.0
VR,J15LA851535H,13.0
VR,Q19GA005252P,13.0
VR,Q21GA046081C,13.0
VR,,
VR,J14LA728125R,13.0
VR,Q19GA023951L,13.0
VR,Q19GA005300G,13.0
VR,J14LA732623L,13.0
VR,J15LA851114O,13.0
VR,J15LA851005M,13.0
VR,J15LA851018R,13.0
VR,Q18EA019521N,13.0
VR,D12LA037597Y,13.0
VR,J17LA639015Q_1000077_FICT,13.0
VR,J15LA851206T,13.0
VR,J14LA732503E,13.0
VR,Q21GA031236E,13.0
VR,,
VR,Q18EA019653V,13.0
VR,J17LA638910I,13.0
VR,J15LA851164A,13.0
VR,Q21GA046003O,13.0
VR,Q21GA031245F,13.0
VR,Q19GA004900U,13.0
VR,Q18GA043331Q,13.0
VR,Q18GA043333S,13.0
VR,J15LA851195H,13.0
VR,,
VR,J15LA851238B,13.0
VR,A11OA206414D,13.0
VR,Q19GA023876R,13.0
VR,Q19GA005159T,13.0
VR,J15LA850993Z,13.0
VR,Q18GA037887G,13.0
VR,G17WA142207V,13.0
VR,Q18EA019557Z,13.0
VR,J17LA638889C,13.0
VR,Q18EA019665C,13.0
