cod_concesion,cod_tipo_sujeto,COD_SUMINISTRO,SECTOR,COD_TIPO_SUMINISTRO,COD_CONTADOR_ACT
VR,PER,1000002,2,CONT,Q18EA019889G
VR,PER,1000003,0,CONT,J14LA719590L
VR,PER,1000004,3.2,CONT,991150195
VR,SOC,981003,3.2,SIN_CONT,
VR,PER,1000005,,CONT,1107103
VR,PER,1000006,2,CONT,D12TA089625E
VR,PER,1000007,0,CONT,J14LA719596R
VR,PER,1000008,0,CONT,J14LA71959S
VR,PER,1000009,0,CONT,J14LA719760L
VR,PER,1000011,2.2,CONT,J17LA638687U
VR,PER,1000012,3.1,CONT,Q19GA005127L
VR,PER,1000013,2.2,CONT,Q19GA005221I
VR,PER,1000014,3.2.1,CONT,Q21GA046072B
VR,PER,1000015,3.2,CONT,Q21GA031124X
VR,PER,1000016,2.2,CONT,Q18GA043103G
VR,PER,1000017,3.1,CONT,Q18EA019455V
VR,PER,1000019,3.1,CONT,Q18GA043162R
VR,PER,1000020,3.1,CONT,Q18GA043384D
VR,PER,1000021,2,CONT,D12TA089669Q
VR,PER,999877,2,CONT,Q18EA019840Z
VR,PER,1000022,2.1,CONT,Q18GA043261T
VR,PER,1000023,3.1,CONT,Q18EA019577D
VR,PER,982212,3.1,CONT,Q18EA019578F
VR,PER,1000024,3.2,CONT,Q18GA043079X
VR,PER,1000025,3.1,CONT,J17LA638961T
VR,PER,997082,2.1,CONT,Q21GA046094H
VR,PER,1000026,2.2,CONT,Q18GA043699T
VR,PER,1000027,3.2,CONT,Q21GA045740Q
VR,PER,1000028,3.2.1,CONT,EZ023197B
VR,PER,1000029,2,CONT,Q19GA004965L
VR,PER,1000030,2.2,CONT,Q18GA042998X
VR,PER,1000033,3.2,CONT,Q19GA023975T
VR,PER,1000034,3.2,CONT,Q18GA037843U
VR,PER,1000036,2.1,CONT,D12TA089854P
VR,PER,1000038,2.1,CONT,Q18GA043542Z
VR,PER,1000039,3.2,CONT,Q19GA005049O
VR,PER,1000040,3.2,CONT,J14LA719712D
VR,PER,1000041,2.1,CONT,J15LA851458L
VR,PER,1000042,3.2,CONT,Q18GA043387G
VR,PER,1000043,3.2.1,CONT,54377656
VR,PER,1000573,,SIN_CONT,
VR,SOC,980074,3.2.1,SIN_CONT,
VR,PER,1000044,2.2,CONT,Q21GA045901J
VR,PER,986012,2.2,CONT,J15LA851207U
VR,PER,1000045,0,CONT,D12LA037650M
VR,PER,1000046,2.2,CONT,J14LA719714F
VR,PER,1000047,3.2.1,CONT,Q18GA043195A
VR,PER,1000048,3.2,CONT,Q21EA037227L
VR,PER,1000049,3.2.1,CONT,C18LA220039V
VR,PER,1000050,2.2,CONT,Q21GA046028X
VR,PER,1000051,3.2,CONT,Q21EA037169S
VR,PER,1000053,2.2,CONT,J15LA851159D
VR,PER,1000055,0,CONT,J17LA638953T
VR,PER,1000056,3.2.1,SIN_CONT,
VR,PER,1000057,3.2,CONT,Q18GA037837W
VR,PER,1000060,2.2,CONT,Q21GA046183H
VR,PER,1000061,3.1,CONT,J15LA851535H
VR,PER,1000062,2.2,CONT,Q19GA005252P
VR,PER,1000064,2,CONT,Q21GA046081C
VR,PER,1000065,2,SIN_CONT,
VR,PER,1000066,0,CONT,J14LA728125R
VR,PER,1000068,2,CONT,Q19GA023951L
VR,PER,1000069,2.2,CONT,Q19GA005300G
VR,PER,1000070,0,CONT,J14LA732623L
VR,PER,1000071,3.1,CONT,J15LA851114O
VR,PER,1000072,2,CONT,J15LA851005M
VR,PER,1000074,3.1,CONT,J15LA851018R
VR,PER,1000075,0,CONT,Q18EA019521N
VR,PER,1000076,2,CONT,D12LA037597Y
VR,PER,1000077,0,CONT,J17LA639015Q_1000077_FICT
VR,PER,1000079,2.2,CONT,J15LA851206T
VR,PER,1000080,3.1,CONT,J14LA732503E
VR,PER,1000081,2.2,CONT,Q21GA031236E
VR,PER,1000082,2.2,SIN_CONT,
VR,PER,1000083,3.1,CONT,Q18EA019653V
VR,PER,999967,3.2.1,CONT,J17LA638910I
VR,PER,1000085,2.2,CONT,J15LA851164A
VR,PER,1000086,2,CONT,Q21GA046003O
VR,PER,1000087,0,CONT,Q21GA031245F
VR,PER,1000088,3.2,CONT,Q19GA004900U
VR,PER,1000089,3.1,CONT,Q18GA043331Q
VR,CON,1000090,3.1,CONT,Q18GA043333S
VR,PER,1000091,3.1,CONT,J15LA851195H
VR,PER,1000092,,SIN_CONT,
VR,PER,1000093,3,CONT,J15LA851238B
VR,PER,1000094,0,CONT,A11OA206414D
VR,PER,1000095,3,CONT,Q19GA023876R
VR,PER,1000096,3,CONT,Q19GA005159T
VR,PER,1000097,3,CONT,J15LA850993Z
VR,PER,1000098,3.1,CONT,Q18GA037887G
VR,PER,1000099,0,CONT,G17WA142207V
VR,PER,1000100,3.2,CONT,Q18EA019557Z
VR,PER,1000101,3.1,CONT,J17LA638889C
VR,PER,996776,3.1,CONT,Q18EA019665C
VR,PER,1000102,2,CONT,D12TA089552E
VR,PER,1000103,3,CONT,Q18EA019646Z
VR,PER,1000104,2.1,CONT,Q21GA047763R
VR,PER,1000105,3,CONT,J15LA850992Y
VR,PER,1000106,3,CONT,J15LA850984Y
VR,PER,1000107,3.2,CONT,J17LA638773R
VR,PER,1000108,0,CONT,Q18EA019442P
VR,PER,1000109,3,CONT,Q19GA023869S
VR,PER,1000110,3,CONT,Q19GA023867Q
VR,PER,1000113,3,CONT,J15LA851141T
VR,PER,1000114,3,SIN_CONT,
VR,PER,1000115,3,CONT,J15LA851169F
VR,PER,1000116,3,CONT,Q18GA037885E
VR,PER,1000117,3,CONT,Q18EA19647A
VR,PER,998168,3,CONT,54365654
VR,PER,1000118,3,CONT,J15LA851236Z
VR,PER,1000119,3,CONT,J14LA732516J
VR,PER,1000120,3,CONT,J15LA851239C
VR,PER,1000121,3,CONT,D12TA089871Q
VR,PER,1000122,3.2,CONT,Q21EA037181O
VR,PER,1000124,3.2.1,CONT,J17LA638911J
VR,PER,1000128,2,CONT,Q21GA046156E
VR,PER,1000129,,CONT,L802773
VR,PER,3037154,2,SIN_CONT,L802773
VR,PER,1000131,2,CONT,Q18EA019897Q
VR,PER,1000132,2.2,CONT,Q18GA043818I
VR,PER,1000133,3.2.1,CONT,C18LA220027R
VR,PER,1000134,3.1,CONT,J15LA850481G
VR,PER,1000135,2.2,CONT,J14LA732470M
VR,PER,1000137,3.1,CONT,J15LA851059A
VR,PER,1000139,2.2,CONT,J15LA851081Y
VR,PER,1000140,0,CONT,Q19GA023704Y
VR,SOC,1000141,3.2,CONT,Q18GA037972C
VR,PER,1000142,2.2,CONT,J15LA850356C
VR,PER,1000144,3.1,CONT,Q19GA005029K
VR,PER,1000145,3.2.1,CONT,Q18GA043734F
VR,PER,1000146,3.1,CONT,J15LA850831L
VR,PER,1000148,2,CONT,D12TA089456F
VR,PER,1000149,2,CONT,D12TA089427A
VR,PER,1000150,0,CONT,Q21GA031242C
VR,PER,1000152,2,CONT,Q19GA023611U
VR,PER,1000153,0,CONT,J14LA719693R
VR,PER,1000154,3.1,CONT,Q18EA019748E
VR,PER,1000155,2.1,CONT,Q18GA043541Y
VR,PER,1000156,3.2,CONT,Q18EA019414L
VR,PER,1000158,3.2,CONT,Q18EA019558A
VR,PER,1000159,,CONT,1106857
VR,PER,3037082,,SIN_CONT,1106857
VR,PER,1000160,2.1,CONT,Q21GA045886B
VR,PER,1000161,3,CONT,J15LA85114
VR,PER,1000711,,SIN_CONT,
VR,PER,999503,3.2.1,CONT,Q18EA019412J
VR,PER,1000162,3.2.1,CONT,Q18GA042943I
VR,PER,1000163,3.2,CONT,J17LA638977B
VR,PER,1000164,3.1,CONT,J15LA850830H
VR,PER,1000165,2.2,CONT,Q19GA025279A
VR,PER,1000166,3.1,CONT,J15LA850758Q
VR,PER,1000167,2.2.1,CONT,J15LA837088T
VR,PER,980923,2.2.1,CONT,J15LA837087S
VR,PER,1000168,3.2.1,CONT,C18LA220010I
VR,PER,1000169,0,CONT,Q18GA043555E
VR,PER,1000170,2.2,CONT,J15LA851042R
VR,PER,1000171,3.2,CONT,Q18GA043200G
VR,PER,1000172,3,CONT,J15LA850701Z
VR,PER,1000173,3.1,CONT,J15LA851052T
VR,PER,1000174,2.2,CONT,Q21GA045918S
VR,PER,1000175,2.2,CONT,Q21GA045910K
VR,PER,1000176,3.2,CONT,J14LA719584N
VR,ENP,1000177,,CONT,W026039
VR,ENP,1000178,,CONT,W073383
VR,PER,1000179,2,CONT,Q18EA019385X
VR,PER,1000180,3.2.1,CONT,Q18EA019576C
VR,PER,1000181,3.2,CONT,J15LA836980I
VR,PER,1000182,2.2,CONT,J17LA638963V
VR,PER,1000183,2.2,CONT,J15LA851092B
VR,PER,1000185,3.2.1,CONT,Q19GA005297C
VR,PER,1000186,0,CONT,J15LA836976M
VR,PER,1000187,3.1,CONT,Q18EA019666D
VR,PER,1000188,3.2,CONT,J17LA638983Z
VR,PER,1000189,0,CONT,Q18GA043538
VR,PER,1000190,2.2,CONT,J15LA851165B
VR,PER,1000192,3.2.1,CONT,C18LA220094C
VR,PER,1000193,2.2,CONT,Q18GA043427X
VR,PER,1000194,3.1,CONT,Q18EA019762C
VR,PER,1000195,3.2,CONT,J14LA728196G
VR,PER,1000196,3.1,CONT,Q19GA005028J
VR,PER,1000197,0,CONT,Q18GA043212K
VR,PER,1000198,3.1,CONT,Q19GA23586K
VR,PER,1000199,3.1,CONT,J14LA719670K
VR,PER,1000200,0,CONT,Q19GA005089W
VR,PER,1000201,3.1,CONT,OA023418X
VR,PER,1000202,2.2,CONT,J17A638988W
VR,PER,1000203,2.2,CONT,J15LA851132S
VR,PER,1000204,3,CONT,Q18GA043066S
VR,PER,1000205,2,CONT,Q18GA043373A
VR,PER,1000206,2.2,CONT,J15LA851045U
VR,PER,1000208,3.2.1,CONT,Q18GA043660E
VR,PER,1000210,3.1,CONT,Q18EA018488Z
VR,SOC,1000211,2.1,CONT,AJ15JD000394X
VR,SOC,1000212,2.1,CONT,Q18EA019343N
VR,PER,980151,2.1,SIN_CONT,
VR,PER,1000213,2,CONT,Q18EA019390W
VR,PER,1000214,2.2,CONT,Q18EA019433O
VR,PER,999520,2.2,CONT,Q19GA023555D
VR,PER,1000215,0,CONT,J14LA728199J
VR,PER,1000218,0,CONT,J14LA728124Q
VR,PER,1000219,3.2,CONT,Q19GA023964Q
VR,PER,1000220,2,CONT,D12TA089458H
VR,PER,998625,0,CONT,J14LA728121N
VR,PER,1000221,0,CONT,Q18GA043669N
VR,PER,1000222,3.2,CONT,Q19GA023931H
VR,PER,1000223,3,CONT,Q18EA019707V
VR,SOC,1000225,2,CONT,J15LA851226X
VR,PER,1000226,3.1,CONT,Q18GA043780L
VR,PER,1000227,3.1,CONT,J15LA851305V
VR,PER,1000228,2.2,CONT,Q21GA046202T
VR,PER,1000230,3.2,CONT,J17LA638696V
VR,PER,1000231,3.2,CONT,J17LA638774S
VR,PER,1000232,3,CONT,Q19GA005218N
VR,PER,1000235,0,CONT,Q19GA005231K
VR,PER,1000236,2.2,CONT,Q19GA005227O
VR,PER,1000237,2.2,CONT,Q21GA046213W
VR,PER,1000240,2.1,CONT,J14LA728150S
VR,PER,1000242,2,CONT,J14LA719608E
VR,PER,1000243,2,CONT,J14LA719648M
VR,PER,1000244,2.1,CONT,J14LA732487V
VR,PER,1000245,2.2,CONT,Q21GA045913N
VR,SOC,1000246,3.2.1,CONT,A11OA216219H
VR,PER,1000248,0,CONT,Q18GA043737I
VR,PER,1000250,2.2,CONT,J15LA851038V
VR,PER,1000251,3.1,CONT,Q18GA043580F
VR,ENP,1000252,,CONT,9514039
VR,PER,1000837,3.1,SIN_CONT,
VR,PER,3037209,,SIN_CONT,
VR,PER,3037210,,SIN_CONT,
VR,PER,3037211,,SIN_CONT,
VR,PER,3037212,,SIN_CONT,
VR,PER,3037213,,SIN_CONT,
VR,PER,980969,3.1,SIN_CONT,
